age_calBP2000_top	age_calBP2000_bot	age_calBP	d18O_vsmow
0	50	-25	-35.19
50	100	25	-34.83
100	150	75	-35.05
150	200	125	-35.45
200	250	175	-35.42
250	300	225	-35.63
300	350	275	-35.80
350	400	325	-35.62
400	450	375	-35.48
450	500	425	-35.36
500	550	475	-35.41
550	600	525	-35.10
600	650	575	-35.27
650	700	625	-35.67
700	750	675	-35.33
750	800	725	-35.38
800	850	775	-35.63
850	900	825	-35.49
900	950	875	-35.30
950	1000	925	-35.66
1000	1050	975	-35.01
1050	1100	1025	-35.09
1100	1150	1075	-35.58
1150	1200	1125	-35.51
1200	1250	1175	-35.34
1250	1300	1225	-35.27
1300	1350	1275	-35.26
1350	1400	1325	-35.09
1400	1450	1375	-35.20
1450	1500	1425	-35.09
1500	1550	1475	-35.68
1550	1600	1525	-35.42
1600	1650	1575	-34.84
1650	1700	1625	-35.68
1700	1750	1675	-35.22
1750	1800	1725	-35.72
1800	1850	1775	-35.43
1850	1900	1825	-35.19
1900	1950	1875	-34.66
1950	2000	1925	-35.03
2000	2050	1975	-35.00
2050	2100	2025	-35.12
2100	2150	2075	-35.19
2150	2200	2125	-35.60
2200	2250	2175	-35.33
2250	2300	2225	-34.77
2300	2350	2275	-34.99
2350	2400	2325	-35.10
2400	2450	2375	-34.93
2450	2500	2425	-35.65
2500	2550	2475	-35.25
2550	2600	2525	-35.11
2600	2650	2575	-35.29
2650	2700	2625	-35.32
2700	2750	2675	-35.19
2750	2800	2725	-34.86
2800	2850	2775	-34.96
2850	2900	2825	-35.14
2900	2950	2875	-35.03
2950	3000	2925	-34.64
3000	3050	2975	-34.98
3050	3100	3025	-35.19
3100	3150	3075	-34.91
3150	3200	3125	-35.02
3200	3250	3175	-35.17
3250	3300	3225	-35.08
3300	3350	3275	-35.15
3350	3400	3325	-34.91
3400	3450	3375	-34.81
3450	3500	3425	-35.07
3500	3550	3475	-35.00
3550	3600	3525	-34.96
3600	3650	3575	-35.13
3650	3700	3625	-34.49
